"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.09.2023","255,70","257,85","260,86","254,21","119,95M","-2,62%"
"20.09.2023","262,59","267,04","273,93","262,46","122,52M","-1,47%"
"19.09.2023","266,50","264,35","267,85","261,20","103,70M","0,46%"
"18.09.2023","265,28","271,16","271,44","263,76","101,54M","-3,32%"
"15.09.2023","274,39","277,55","278,98","271,00","133,69M","-0,60%"
"14.09.2023","276,04","271,32","276,71","270,42","107,71M","1,75%"
"13.09.2023","271,30","270,07","274,98","268,10","111,67M","1,43%"
"12.09.2023","267,48","270,76","278,39","266,60","136,00M","-2,23%"
"11.09.2023","273,58","264,27","274,85","260,61","174,67M","10,09%"
"08.09.2023","248,50","251,22","256,52","246,67","118,56M","-1,19%"
"07.09.2023","251,49","245,07","252,81","243,26","115,31M","-0,17%"
"06.09.2023","251,92","255,13","255,39","245,06","116,96M","-1,78%"
"05.09.2023","256,49","245,00","258,00","244,86","129,47M","4,69%"
"01.09.2023","245,01","257,26","259,08","242,01","132,54M","-5,06%"
